roundId,multiplier,timestamp
684,1.95,2025-12-29 08:40:38.292018
685,15.57,2025-12-29 08:41:19.659411
686,1.81,2025-12-29 08:41:34.313732
687,2.22,2025-12-29 08:41:51.863077
688,2.16,2025-12-29 08:42:09.832159
689,1.81,2025-12-29 08:42:24.473103
690,1.66,2025-12-29 08:42:38.676227
691,10.98,2025-12-29 08:43:15.888882
692,1.45,2025-12-29 08:43:27.873343
693,2.46,2025-12-29 08:43:47.325283
694,2.06,2025-12-29 08:44:04.179817
695,4,2025-12-29 08:44:09.37236
696,4.46,2025-12-29 08:44:29.62769
697,1.11,2025-12-29 08:44:39.159841
698,1.15,2025-12-29 08:44:48.516977
699,3.7,2025-12-29 08:45:12.924966
700,7.1,2025-12-29 08:45:44.620362
701,1.18,2025-12-29 08:45:54.330063
702,1.29,2025-12-29 08:46:05.641024
703,3.05,2025-12-29 08:46:27.118936
704,4.12,2025-12-29 08:46:52.22528
705,1,2025-12-29 08:46:59.999338
706,1.78,2025-12-29 08:47:15.399246
707,1.94,2025-12-29 08:47:31.452086
708,4.38,2025-12-29 08:47:56.87291
709,11.03,2025-12-29 08:48:33.530301
710,2,2025-12-29 08:48:39.37922
711,9.97,2025-12-29 08:49:09.469749
712,1.7,2025-12-29 08:49:24.077535
713,7.65,2025-12-29 08:49:56.235375
714,1.62,2025-12-29 08:50:09.536683
715,2.65,2025-12-29 09:27:29.285503
716,20.08,2025-12-29 09:28:13.288934
717,1.2,2025-12-29 09:28:23.568452
718,4.87,2025-12-29 09:28:50.510792
719,2.18,2025-12-29 09:29:07.46558
720,4.23,2025-12-29 09:29:33.13427
721,7.18,2025-12-29 09:30:05.130238
722,1.22,2025-12-29 09:30:15.896596
723,2.94,2025-12-29 09:30:36.281408
724,1.04,2025-12-29 09:30:44.902516
725,1.79,2025-12-29 09:30:59.978276
726,2.82,2025-12-29 09:31:20.952217
727,3.16,2025-12-29 09:31:43.132565
728,1.37,2025-12-29 09:31:54.371347
729,3.21,2025-12-29 09:32:16.468188
730,2.75,2025-12-29 09:32:36.59923
731,1,2025-12-29 09:32:45.172834
732,1.89,2025-12-29 09:33:00.29156
733,3.82,2025-12-29 09:33:24.802863
734,1.6,2025-12-29 09:33:38.651518
735,4.18,2025-12-29 09:34:03.345999
736,4,2025-12-29 09:34:09.523936
